idx,l_angle_knee,r_angle_knee,l_angle_hip,r_angle_hip,back_ground_angle
1,75.78876522512144,61.34699251547775,134.6866879242578,134.02347473166813,1.0719205031977357
2,76.2628483927658,63.778060770320245,136.38959105906207,135.63796527605197,0.6297991971958345
3,73.6618917783823,64.14780245180542,132.99131489036574,132.91628703975962,0.8644682815242072
4,76.89342586979066,65.68484847045121,133.77575781101973,134.27312567213536,1.3727185081299265
5,75.91151587989988,65.64156765574607,134.3475429383621,134.31241719680978,0.37164887658081935
6,76.41431859353808,66.38198898141695,136.62056288299556,135.50782670701616,1.0619473253225828
7,76.12550820093733,66.93530448739723,135.28675586460145,134.9576317253015,0.5816641033460104
8,77.28412091968366,70.65957716507569,135.0354152026793,136.16319128324255,1.8270403138119502
9,74.36171958285126,70.29094008399808,135.48827648628472,136.3349963095506,0.4425052530213002
10,73.99223086650284,71.07907953199698,134.64820917083563,135.84182639266862,0.5296878865776619
11,73.08853243056691,69.22937505144573,135.74222703155718,137.2971902936089,0.9634660637035337
12,76.05871185388358,72.62233943442112,136.69833757546814,138.64449154697914,1.5372296465615363
13,76.45800796351935,72.88500977634719,136.59133869249533,138.40792721742025,0.5155232934400578
14,77.47641659150835,73.92867957151759,137.30380596811037,138.4817134301694,0.6142254455068494
15,78.76800572530402,76.92893818949594,135.9923565554912,139.85202470201006,0.5424363657851188
16,78.6220509946235,76.5185270508887,139.61871922095736,142.892918358318,3.310169031847059
17,67.99790010452365,77.75561167590186,113.983104337375,130.79309834104862,12.518572246487448
18,49.62069538377557,72.17680170595776,102.01246144078024,120.41420009978856,20.155917075542668
19,71.6082633954476,81.78399969059782,118.42574136569732,134.97499712469283,10.660217745696606
20,77.3947458210358,82.2044734206179,125.81137692821912,138.0199805596613,7.8194425191044346
21,80.42653441852008,84.27798040237693,127.84755411638187,139.4597148058226,7.472762301946724
22,80.55101899573101,84.79794988778426,128.02487216787,139.70473109368402,6.721713312145615
23,81.4494297027809,84.18511020274258,128.38715053567586,139.58645868178772,6.320918275691631
24,82.2904710232484,84.6152446554336,128.306755019533,139.4920441453385,6.45796244739982
25,78.70373110142813,82.63362894353077,123.59960677153646,135.81966230890885,9.106920919194481
26,79.92356801040837,82.86762699138905,126.49714302101081,137.7846778828564,6.973768537234324
27,76.78922369500252,81.17288470902288,122.0285810326966,134.4171741900512,9.6279995430695
28,77.8023798085968,81.99281992488159,123.51416155375604,135.8401527785332,8.448721627657067
29,81.64681480094572,83.90605954135886,128.16661114003816,139.4937861774675,6.372293989782103
30,81.96857065584852,83.64158158544319,128.08301160157308,139.55881646035115,7.007699758805
31,87.53659162435258,79.86899214368509,144.94722428678395,143.8156662888058,2.711416890724674
32,86.31121286168012,78.39836126122921,144.1527193598233,144.75651383078858,2.429110798370164
33,71.24707889102922,74.23087511096546,132.94261163267407,140.71290602754152,0.051564154120509194
