idx,l_angle_knee,r_angle_knee,l_angle_hip,r_angle_hip,back_ground_angle
1,80.77597156363794,69.19618670922792,58.71235019392512,67.62300705913037,69.37064277989077
2,81.35296695262625,67.1638543865409,59.39037738971503,70.10584656882405,68.43054721075787
3,82.70719288322181,62.344929030715484,60.58090015908723,70.88757326119818,67.68006049504727
4,84.23531767961968,50.62794598967692,61.94923158769764,76.47684761778675,65.05100245738045
5,83.85621911336342,63.65290601542594,60.85155828339551,70.81374196138773,67.98413365735512
6,81.42976012229299,75.66130088654977,60.512878063887925,64.7183846135531,69.83968997610768
7,83.70209627173111,54.18028565433953,61.58676959842996,72.75677212654519,66.11346557778799
8,81.2427106041163,75.16624841042277,63.004402421602435,63.73963374737111,69.33406539192951
9,81.0758685270529,76.52226317366764,63.39973982197064,63.088685769363465,69.18879881755012
10,81.41102695540602,76.39777255902493,63.90977441846664,63.38024981782251,68.87274449771915
11,81.38526198721884,75.84557197939337,63.55828833111955,65.45753742803575,68.69523637524502
12,80.8163985473053,77.6380744870467,63.926952879315344,62.81410499678555,68.7574148837492
13,79.80836932413757,75.90035416898861,58.536206159946516,63.71819585897303,70.16607500050398
14,78.81311291442229,76.73906079314794,58.08781406045797,64.90879678057276,70.00618732197803
15,79.27451199292973,76.26853078929986,64.20689409121668,63.86595360985533,67.98374206769346
16,80.56809511245834,75.3567454851575,64.74014715846349,64.63607325217386,67.71691191330856
17,79.60859735314648,77.74521320648353,65.30730832989636,65.14105521573242,67.06916913134141
18,80.76030536365688,75.45278065695992,65.24148788224755,65.38263424591514,67.04331887780226
19,81.01949306236251,77.94323328452062,62.40176756963998,63.871450468849034,67.62102747974676
20,79.90101729124922,80.06857988673312,60.96402593539426,64.84558493559965,68.4338856864498
21,80.80464436883318,80.04322388378846,61.85000058871652,65.49826887310891,68.38493024857954
22,81.9026177815154,80.44896877509696,63.052760434268784,66.38655423674213,67.655387773034
23,81.04334061404873,80.43586970885889,63.12034976005613,66.46804318073812,67.22810788174084
24,80.72687391434579,81.26244371456048,62.980583792598516,66.64222995431884,67.20501087761473
25,79.68867126995467,81.81209604889591,62.31375893170206,67.34128917710231,67.35984301714613
26,79.93479057722209,82.07746555960193,62.63563710197987,68.38905550395691,67.23761204755706
27,79.51558055137066,83.08364042114286,62.696656849232085,69.47529492770221,67.05316261657087
28,80.29328120789701,83.50705192256682,64.10254458476902,69.50315758612184,66.17148569599611
29,78.70618628248592,79.30738457268475,67.73461799670302,70.63126362389559,63.77955316004589
30,80.04106085735009,82.88019955395137,63.291146106642636,69.84491756503364,66.69041604988809
31,79.99431900646614,84.41705213809378,63.55109524412833,69.76632358763385,66.42826959113638
32,79.90465953941258,84.21241863066514,63.56867919165751,69.632699846585,66.35678786804328
33,80.20810179082243,85.19700672579496,63.4873838523831,70.36136905532504,66.5537715029986
34,81.05027022232048,86.20162922088636,64.14844104948045,71.49501947632083,66.41402767190748
35,81.0773500061531,86.39878561982735,63.86958153216786,71.58196463324325,67.08560323256404
36,80.69862320165949,85.85967567951991,64.028027764205,71.43703535450688,66.33118297678489
37,80.98029174882814,84.71384362033635,63.94736346584798,71.34501259074038,66.24784601754129
38,81.2892762044639,84.47255195661218,64.23549370100396,70.84892182900464,66.50335575849628
39,81.4300723827282,86.04464881511952,64.70178504577692,71.92727511500127,66.17199288081797
40,81.90796340210643,83.91747093964466,64.47920797517864,72.52343947468997,66.3837387440966
41,82.31430382041067,74.34106577057373,63.465386307069814,76.3624221363983,64.78496720450275
42,82.88285376719239,74.09845166358109,63.922067383079785,77.0225542584704,64.48170279429691
43,83.24017620455153,83.5497071583449,65.4250052318269,74.3665001600668,65.45070301976654
44,82.60655557899314,87.64398593254082,66.47205693634551,74.31425349986934,64.62772305854904
45,83.3769539748982,85.15712396197824,67.06227597070671,75.37725465720197,64.19168999707578
46,82.9567942861459,87.7730209116322,67.81626816774512,75.86530759467135,63.38024982382531
47,84.05852814345108,87.13135297187168,68.82788277449701,76.63999055509252,62.81553845018562
48,84.4333247153389,87.79147746353155,69.79604346517158,77.44880453843527,62.01608098534386
49,84.54344808781114,88.5201464748035,70.03981371994936,77.91734611537275,61.422499692472115
50,85.68781034731947,89.60503830248446,70.82638645257241,79.53586649238855,61.202820173591014
51,85.41973355993282,89.15345527127533,72.1340090865163,80.21689496102279,59.94158944361827
52,85.72675375142265,88.74806993960829,72.44501136986183,80.31713042565764,59.72970319002769
53,85.43404874408796,88.49999543035503,73.01272747128803,81.16093686480363,58.92870434588568
54,85.23662052918849,88.44343522123775,73.88522060138419,81.98108496167937,58.1224376856972
55,83.7275341551016,85.58703685035016,74.7027397486825,79.93429448005061,57.60098846576996
56,83.24679601078438,85.22797181649219,75.822601839402,81.01059025451295,56.081834034325155
57,83.08303794743166,85.58861240202478,75.66600617921446,81.6886506034562,55.56465745713186
58,82.1501236819366,84.46311023414684,76.34025298296145,82.9447412740576,53.748139633280935
59,83.68033873994497,85.999718334475,77.54885319860492,83.65358409390612,53.473701110771174
60,86.3287154061259,88.36743279951816,81.29796081882131,88.3400490493694,51.65120551899972
61,86.20871174875809,90.28988396939602,82.21140842151686,90.55548831423614,50.55841872537842
62,87.41023456266029,90.62143711015162,83.50128349198289,92.05130296223805,49.56561015266808
63,87.705911291074,89.94287368417383,84.36258809247178,92.08375010781178,48.91915984062523
64,88.37233104119201,90.15250693753298,86.21168843583584,93.86924685293154,47.03854544342325
65,89.25122411015072,90.9025593365587,86.93962671689637,95.71861896316956,46.24686804140325
66,89.9787267945911,91.4911552314935,87.34870352142552,95.63612730552833,46.12974439897018
67,90.67443108233746,90.15945848018346,88.13626454797091,95.22196539406096,45.356412042047026
68,89.31245510018199,90.754930268092,89.04229626643203,96.7209986351435,44.18453001879459
69,90.17332834780618,89.90887879510703,90.1775874175197,96.52458737750014,42.879004986990275
70,89.98169307288262,90.10740754373963,92.1816771334218,98.28974581792467,40.888712075273126
71,90.18065630188552,90.24421357465057,91.40655509076815,98.32571568902326,40.58841077653401
72,91.15085580812091,90.50056004307342,92.88524729418926,99.86277806858133,39.067123272976914
73,102.52135572086776,101.35386885264332,102.68924247718223,110.32200015692737,34.60688474427956
74,92.65559814941241,90.95301356586792,99.45505401700143,102.96232832467555,36.06166079997591
75,94.5797200041239,92.15471021047017,99.95880231608307,103.40208001072477,36.80597302782869
76,95.0707673510386,93.05074689812018,101.38274640873377,105.40498297934451,35.40837459734147
77,94.33216668695829,92.07877412786397,102.67159665593059,106.69877601834276,33.49620710223427
78,94.54941588500617,92.7903031728976,103.4178386699498,107.64346111976744,32.581051203099896
79,95.93517958135965,93.12523975243218,105.83566568894358,109.54313463886675,30.691861335783873
80,96.81663925674567,93.56956585568985,107.89182912685209,111.4164238778498,28.71647950143102
81,96.98366159651098,94.12788149412627,109.14701206819541,112.4681328229651,27.59625460050184
82,97.08996159559659,94.47053336294205,110.94304903751181,113.92785369568605,25.605845963069488
83,96.58442822597867,95.3432217270571,110.73298337579914,115.24439197878715,25.39408713836785
84,97.14944184792448,94.75301556272323,111.61537902207068,114.80785550691884,24.702388308288615
85,97.52937735177544,95.02771279231544,111.66093882903898,115.21092620915331,24.27836164471479
86,97.6353716652915,95.54166311777433,113.22642839161229,117.57354176257869,22.04417072941178
87,98.89006615234292,96.52050809356074,113.94136436502279,118.52428780329848,21.782730654421094
88,98.99823388511392,96.55937466348998,114.88789398109242,119.14347724880307,21.454423615123787
89,98.71093149225986,95.99069250613478,115.03220777954395,119.21557680789473,20.700891166827578
90,98.08956785950416,95.58286446453714,114.96243609836276,119.73215368233585,20.37542154906204
91,97.81772899626695,95.60808285356751,115.15777885048168,119.49255245748408,20.10245264325968
92,97.83484030077646,95.79874966348176,115.10273951340321,120.3073525029657,19.777893656292452
93,98.34493092645822,96.3601700023835,115.09841809292776,120.0217746102896,20.102930605217647
94,98.00128548708118,96.01189806517462,115.24143925949767,120.0812765027618,19.97742983242599
95,98.83338744526961,96.65741551384036,115.99456622317285,120.17062536647603,19.94582411028897
96,98.89682710324661,97.00475787593568,115.14958013558835,119.28307156227021,21.159144465854904
97,98.60206361109793,96.70163667229079,114.21834467097271,118.2279787382717,22.339105021461165
98,97.80907296180136,96.53139690421455,113.20852905407752,117.78575370558525,23.073603657183334
99,98.24079321424684,97.06639443219196,113.19792151646621,117.56626171635988,23.56753114388338
100,98.07515718507987,96.18407053864102,112.31011692131341,115.85130518495505,24.43364514858663
101,96.33302419007974,94.83720279970275,110.37177062224305,114.50998744936058,25.270531738867064
102,96.26728967031012,94.02362124410274,110.18702205037879,113.14198069358277,25.605722201441257
103,93.88755347027873,92.62352398569237,107.26859634985142,111.68614408674632,27.360286875110507
104,93.47715854495941,92.2385560542646,106.01685311494298,110.28914078211606,28.591088232339136
105,93.1827740021701,91.9203397406862,104.46717151560996,109.04791725412403,30.096591005032845
106,94.17817391825132,91.52196644038183,104.64852746927274,107.71809941971838,30.5170937268583
107,92.65031285701318,90.287734718699,103.07769260857656,107.4100876769285,31.086183225053617
108,92.4810927897824,90.53123211743218,101.29528505311383,105.93098765315692,33.236759523302545
109,93.74955493173073,91.99444026774772,101.17617375276686,105.64281286563318,34.59182925907532
110,90.0896949529802,89.78925315217293,99.28668059270227,104.85776212946722,35.24101393525824
111,88.96910041695574,88.55098611779958,98.891566492592,104.69919466088294,34.76961157111911
112,88.59287787694203,89.55183390185424,96.96040774992713,103.87363111933996,36.96780126375949
113,88.90034400732084,89.21735528181057,96.27689089585024,102.80239933296755,37.85659767075796
114,88.15117137678656,88.5659509177623,94.66427869612068,100.87847658758479,39.91004413779356
115,87.73588161241278,88.0884721787099,93.77472204854016,100.21842452871603,40.91532221288806
116,89.47470087351849,92.39953181423682,87.94776713037918,96.09387981387874,46.146588508001514
117,88.7702116683768,90.82590194939678,87.00304622784465,94.82052881571325,46.03774166619444
118,87.86126965329213,90.26629922476172,84.48615697312383,92.10353743458904,49.28657915055365
119,86.91465717029877,89.63808109604373,83.48890463686207,91.35874506881899,50.21908294926311
120,85.77319154848024,87.63705771845433,82.2597691814492,90.13199244388483,50.354431890521816
121,86.74037111122308,89.23453882916722,76.83351708282292,85.25300783587251,56.797452501346406
122,84.7027332686729,87.13758703516868,75.36266833182661,83.64289738732468,56.880466868893464
123,83.21121657319692,85.13505254047516,73.57820124742307,81.91279890840568,58.02509463110031
124,81.32263729453345,84.66795461416369,76.73030947166389,85.58262349073988,54.80895383072224
125,80.79190466459494,82.9057395856512,76.21289612125037,84.65647717836131,55.464687782941944
126,78.91180570173493,80.49251507679071,70.87550927128878,78.47767462072876,59.06770571217385
127,77.82909663558821,77.96653931800743,69.77887929409783,77.99220865912626,59.18705246895526
128,78.82892146405935,83.76638663546646,67.13945131756113,78.18893106659884,63.209429796843075
129,78.45535138191293,82.61491099512307,65.66582923389669,75.21715872718445,64.45001145693016
130,77.05884482883151,80.43701611451401,63.61080797849086,73.29367772365381,65.82024127675375
131,76.31391828866543,79.41907174095978,62.479252152439074,71.06076886804664,67.02115115053132
132,76.34898617941256,75.44701512813072,61.81621674611762,70.10276619524376,68.27008952818434
133,75.20611776816212,75.20742233986775,59.50809081270372,68.77988704590426,70.4017237658473
134,75.19928761614104,74.98334703224403,58.550243718910345,66.68553862579822,71.59305081561276
135,75.28399226860364,77.19626600581411,58.99972174810088,65.50398730292855,70.72255607565009
136,76.03788774362775,76.75078110361528,58.5400030837924,64.09771877657182,71.80901362653307
137,76.17060934271231,77.03314386538688,58.201640639798356,63.82881210030319,72.15644036199599
138,76.09010163462456,76.89015076202382,57.15405681825593,62.262666341109814,73.22286181539846
139,77.08541708829816,77.83884973448562,56.68078256934747,61.94099795619364,73.62466077391575
140,74.11019170652605,77.85341747712573,48.767681826828714,53.32329270721225,80.59212022792606
141,73.86674687839779,78.27999795567557,47.181773924940046,53.45580222443731,81.66928803597132
142,77.25300194708575,75.84824296763693,50.688586707639274,58.34093167254687,78.50140996526014
143,76.38250973133334,75.13478933588759,45.23332165208305,53.801855692801475,85.23267436035968
144,79.33110382998262,75.67215298216469,51.883493436544285,58.07724892053491,78.76097964278028
145,76.68021817446296,71.3496837224754,45.076814142472,54.410857198319164,85.85198733987164
146,76.80215441497467,68.2004683568627,43.44354123689218,54.36503487267821,87.2627000406889
147,79.86386370010689,61.29663967070126,49.7597128097847,60.323224372500384,79.4646946425288
148,79.03526849504927,58.154553384991296,49.13909126605712,60.12477082043121,79.55225979833334
149,79.65939619920846,51.01111224209521,49.68412776936828,62.496591351472716,78.3311229933106
150,79.96507576174368,44.0636483445397,49.97025804694108,64.00267620651614,77.38796811241882
151,79.99748668239486,52.90389243990828,50.165436238726315,61.4893969015628,78.77144317032173
152,81.251931102244,39.18900364170878,51.360794136093155,67.66683442340538,75.91975825245878
153,82.20632509386948,33.44781652821081,52.35224847994386,74.81261871713906,73.55854612910966
154,81.92913993205237,33.15566198235806,52.38200550314382,74.62118421020067,73.81617110377502
155,82.44728549687721,32.89073344113018,52.32034221603267,78.16385258518287,72.4117252009395
156,82.75350276183813,33.32075283478882,53.161373189726774,78.322107193399,71.73690677879003
157,80.03436417275553,35.99133564243419,51.27334849869615,69.29219227282799,74.5874734866547
158,74.72276255202947,59.905407166641595,42.20387593782737,54.47696495371259,87.60475358439291
159,74.75245895694093,54.92157398455599,42.88922689207866,55.051110956396265,87.06519966218205
