idx,l_angle_knee,r_angle_knee,l_angle_hip,r_angle_hip,back_ground_angle,dist_ankle,dist_knee,dist_hip
1,55.924159627124084,52.78030472045153,122.49520528184028,122.3587679286904,4.69682393668935,21.53282700986507,67.98967369605546,55.717586989387925
2,59.11633672610597,54.50207737782659,123.50664890039742,123.65528422139731,1.3688586154585323,30.817917637312764,85.07398565406264,53.99897484018733
3,56.12480143731288,52.96505143011277,123.14789446479544,123.01786464063295,5.885987833028192,20.06823387719335,68.78175374557846,57.054217300517294
4,59.82418168216374,55.341185937739645,124.89148630946198,124.4941222828756,2.580291875870947,31.81698837767851,86.25559599646076,55.39750386612562
5,52.88811375785982,57.79024436089808,116.85049688184121,119.25146138749844,2.3283098665129747,33.30188147134095,38.54565191610497,50.47552358483352
6,51.888044097305844,56.938931637900886,116.38507938163842,118.86546211803358,2.189435532985316,31.829622347119905,33.790013326596124,48.86620437919951
7,51.86363194330634,57.2195900506141,115.82284627718641,119.16125014825789,3.8841185396331723,30.091498112985843,34.342309944695266,48.710668985258444
8,52.03016822030983,56.274828673051,114.68732504294013,117.65050636000696,5.574270150206293,28.37065077206,40.021943301256016,47.02597075556562
9,51.815547555461016,55.94188404412621,114.81652909911638,117.48699494358318,5.275653787057525,29.215302022315704,38.38637347244171,44.35085100000037
10,59.894609876576794,53.6110901690258,121.80098415861067,121.8566397066695,2.888771687578593,28.413128306043745,87.72829262247802,49.633416338382844
11,64.86213059894915,50.38374835215442,123.18560224307988,119.44859048732614,9.410890241156915,69.73370885990923,105.48208736526568,46.64820142312336
12,57.60992217595879,52.0853925008572,119.46763460911737,120.29561318122633,3.6614397210748306,24.376669734838533,77.31439313969942,43.87537941707491
13,70.9236524312826,62.93030878322193,126.4323090203187,126.35979294001962,2.9388327518513284,14.070710185207702,65.3561792218474,39.00789143280051
14,70.10171185283659,62.25298196478844,124.39432312618727,125.03419458544288,4.6786885760941805,14.593532862492703,63.660078148556366,35.9514436480455
15,69.37988645302532,61.38966698839387,122.6465502044636,123.96866948003328,5.518261112765181,14.342300747500033,60.07463633316319,34.10792073766034
16,67.90679147472824,59.590755087756406,120.93136440227349,121.95128175701507,6.081686960915423,15.255838201883206,60.78879430047655,33.13993636771026
17,44.3534043015388,48.029134365939385,103.60835764018026,108.18947738545151,15.588701547622206,19.721552301794947,42.693450232603745,40.68619430194978
18,66.44848671550379,55.65636835325348,111.98211822096174,113.99546953490815,13.505879390797753,20.762651715081017,70.6030387663132,33.57324229801626
19,51.45688343970404,46.80264056574966,101.51231674897248,107.21604869424331,15.074556976008473,23.883279066017646,52.767707388146604,34.638439322498385
20,49.367088254919146,46.55663107642399,99.03018401527112,104.94197277121494,16.187041691149144,27.394210082023893,39.20129340692128,31.191664144982163
21,48.36782146629196,45.80896690874664,96.91401278178235,103.68767021992839,17.338284655628616,30.91249291961815,36.67314376976975,29.964912744794994
22,49.5484543837579,45.82509741537921,93.3806309092351,101.50343940964355,24.077094488406125,39.58516600802625,40.82477291233354,33.501442831075316
23,50.001493271557955,46.961614271715334,92.98154382458875,100.44197713596333,22.67991251762437,36.98041882270571,37.60138489731839,32.5931273027848
24,49.482775428058076,47.44661747929947,89.9552036418063,98.93497627177973,25.282121902871562,38.57426377620966,31.32674197441904,33.64200252976243
25,49.3744560887586,47.8692212956309,87.46323161565358,97.72996442847099,27.52514994620152,42.049704478865216,28.514130391738476,37.325944256483986
26,49.32818581757986,47.70802792472668,85.72480622381181,96.19184159781453,29.170622198549246,42.52882988894539,23.408392611501753,33.8511267829782
27,49.84555065439686,48.52603210015813,84.02266918665252,94.68664966455944,31.467543368565018,38.92318081589101,22.681621514407336,32.887277233657194
28,50.594522240767326,49.13503866311691,82.24189427997986,93.09405305102622,33.801973203046,38.03832140661358,20.85730761961011,30.863419023463866
29,50.75594000550859,47.67561873588755,80.08825426205665,89.4122639886058,35.87983093136774,39.33702397168373,22.241275554127633,25.57862271039927
30,50.87184172460164,48.06859715393073,78.38977969228458,87.81228413941686,37.8867173760034,37.92073612070825,20.883031059054222,26.083044408088202
31,43.70175193451656,49.062276544638365,77.69702470460007,87.65286436049529,38.10741502140777,20.56664861283136,24.886895565844252,33.29273075582418
32,51.50398971389217,49.09635793411356,74.94593687831403,84.57941945437302,42.13647764533851,36.898663579346426,18.71400866631426,25.78409389445023
33,45.026701135904986,49.98968758473183,73.9961152716146,84.66612316357633,42.996149167755476,22.57791971324533,26.348653770563708,37.063710545992414
34,52.97284561676644,48.49931748334017,73.0902473913755,80.3219941271935,44.953073347540055,39.33857757783584,19.664688174021364,22.563724413271824
35,53.600866557737184,49.02363038387161,71.99931660808885,78.84051281872043,45.95029896044652,38.97007114920999,19.133692978244994,23.049264172435333
36,53.350798521602876,48.53447499313055,71.03447415967126,77.26461069116746,46.419172463461024,39.73255375965777,18.975446972248076,23.478063311661455
37,53.68917493849068,48.33551153620836,70.9876401491839,76.58398343879868,46.54294757081981,38.46702653187328,19.753917535111423,24.058553204948993
38,54.87647634987076,49.25983928357246,70.05949255844217,75.75518807279359,48.257643915569645,40.68318898507378,19.178460549545413,23.794959217547287
39,55.71700790659089,49.867314109863,69.17531384684325,74.79568807900921,49.97056827111562,42.04281477335984,21.355881708529825,23.801328825947685
40,55.94614590153787,49.56185050294229,68.39457600855116,72.93080112266658,51.68015349683537,40.56799774096893,22.82221550444232,24.892879984100304
41,55.81620817295329,49.13061969759379,68.4009803468447,72.62505413939802,51.286326633699304,42.350440176100456,24.65458641231275,25.76998712115631
42,48.90941703621777,49.76975330206045,68.63443360104174,74.60267050129362,51.239301195087194,28.43442448352538,21.332554442503238,24.857071861322996
43,48.71929534276021,49.26594262985764,67.95455569796043,74.00512477939249,52.42879572457574,31.634252797243736,20.839903009021167,24.06347358037598
